csummary	What is this text about
csummary	What is this paragraph about
csummary	What is this article about
csummary	Tell me in two words about this text
csummary	Summarize this text
csummary	Summarize please
csummary	Can you summarize, please
csummary	Tell me shortly about the text
csummary	Give me summary of this paragraph
csummary	Give me summary of this text
csummary	Give me summary of this article
csummary	Gimme summary of this text
csummary	Gimme summary of this text, please
csummary	Can you give me summary of this text
csummary	Can you give me summary of this article
csummary	Can you give me summary of this paragraph
csummary	What do you think is this text about
csummary	What is the meaning of this text
csummary	What is the topic of this article
csummary	What is the topic of this text
csummary	Any ideas about the text
csummary	What are your thoughts about text
csummary	Describe text in a nutshell
csummary	Describe paragraph in a nutshell
csummary	Describe article in a nutshell
caq	Can you ask me a question
caq	Ask a question
caq	Next question
caq	Give me next question
caq	Ask me next question
caq	Ask me another question
caq	Ask me a question
caq	Can you ask me a question
caq	Any other questions
caq	Can you talk to me
caq	Talk to me
caq	Can you ask me a question
caq	I want you to ask me a question
ctopic	What is the topic of the text
ctopic	What is the theme of text
ctopic	Topic of the text
ctopic	Say me topic
ctopic	Say me theme
ctopic	This text main topics
ctopic	What is the topic
ctopic	What is this text about
ctopic	What is this paragraph about
ctopic	Short info about the text
